statement,status
I feel hopeless and empty,Depression
I can't sleep and have lost interest in everything,Depression
I'm struggling to get out of bed,Depression
I feel fine and energetic,Normal
I'm enjoying my time with friends,Normal
I love working on new projects,Normal
I feel worthless and tired,Depression
Life feels meaningless lately,Depression
I'm feeling very positive and happy,Normal
I'm motivated and doing well,Normal
Everything feels too heavy,Depression
I’m okay and things are going great,Normal
Sometimes I feel like giving up,Depression
I feel excited about my future,Normal
I want to cry every day,Depression
I’m managing my stress well,Normal
